prev_close,iep,change,final_price,low_52,high_52,high
31040.45,31043.50,3.05,31043.50,18183.55,32048.00,31246.25
28867.20,28870.00,2.80,28870.00,18183.55,32048.00,29094.95
26897.75,26900.10,2.35,26900.10,18183.55,32048.00,27420
27696.80,27699.00,2.20,27699.00,20113.10,32048.00,28027.25
30663.35,30665.10,1.75,30665.10,18183.55,32048.00,30785
27844.20,27845.00,0.80,27845.00,18000.00,32048.00,27946.25
30671.35,30672.00,0.65,30672.00,18183.55,32048.00,30832.65
28265.75,28266.00,0.25,28250.00,18183.55,32048.00,29375
25985.95,25986.00,0.05,25986.00,18183.55,32048.00,26359.85
29289.30,29289.30,0.00,29289.30,20000.00,32048.00,29425.25
29382.40,29382.40,0.00,29382.40,19351.40,32048.00,29399.95
26232.95,26232.95,0.00,26232.95,18183.55,32048.00,26459.75
28427.45,28427.45,0.00,28427.45,18183.55,32048.00,28500
28414.70,28414.70,0.00,28414.70,18183.55,32048.00,28580
28368.10,28368.10,0.00,28368.10,18183.55,32048.00,28570
28334.05,28334.05,0.00,28362.35,18183.55,32048.00,28650
27757.15,27755.00,-2.15,27755.00,20113.10,32048.00,28096.25
28022.45,28020.00,-2.45,28020.00,20113.10,32048.00,28089.6
30794.80,30790.00,-4.80,30790.00,18183.55,32048.00,30830
27157.85,27150.00,-7.85,27150.00,18183.55,32048.00,28469
27622.65,27611.00,-11.65,27611.00,18183.55,32048.00,27611
28521.95,28499.00,-22.95,28499.00,18000.00,32048.00,28673.35
27623.15,27595.55,-27.60,27595.55,18183.55,32048.00,28008
30323.25,30290.10,-33.15,30290.10,18183.55,32048.00,30590.8
30535.55,30501.00,-34.55,30501.00,18183.55,32048.00,30872.95
26288.25,26251.00,-37.25,26251.00,18183.55,32048.00,26630
28348.15,28300.10,-48.05,28300.10,18183.55,32048.00,28428.75
28056.00,28000.00,-56.00,28000.00,18183.55,32048.00,28385
27769.10,27705.00,-64.10,27705.00,18183.55,32048.00,28114.1
28070.40,28000.00,-70.40,28000.00,18183.55,32048.00,28490
27581.80,27511.05,-70.75,27511.05,18183.55,32048.00,27632.75
28272.95,28195.00,-77.95,28195.00,18183.55,32048.00,28195
27986.40,27900.00,-86.40,27900.00,18183.55,32048.00,28228.35
28096.15,28006.00,-90.15,28070.00,18183.55,32048.00,28108.1
27513.10,27415.25,-97.85,27415.25,18000.00,32048.00,27450
28901.55,28800.30,-101.25,28800.30,19661.85,32048.00,29198
28444.35,28340.00,-104.35,28340.00,18000.00,32048.00,28432.35
30559.45,30450.00,-109.45,30450.00,18183.55,32048.00,30700
27309.95,27200.00,-109.95,27200.00,18000.00,32048.00,27580.8
27738.20,27625.00,-113.20,27625.00,20113.10,32048.00,27738.15
26327.30,26200.00,-127.30,26200.00,18183.55,32048.00,26365
29155.80,29025.00,-130.80,29025.00,18183.55,32048.00,29199
27474.70,27321.10,-153.60,27321.10,18000.00,32048.00,28244.45
28485.90,28323.00,-162.90,28323.00,18183.55,32048.00,28590
28045.80,27878.05,-167.75,27878.05,18183.55,32048.00,28500
29320.70,29131.65,-189.05,29230.00,18000.00,32048.00,29200
