"SYMBOL 
","PREV. CLOSE 
","IEP  PRICE 
","CHNG 
","%CHNG 
","FINAL PRICE 
","FINAL QUANTITY 
",VALUE ,FFM CAP ,"NM 52W H 
","NM 52W L 
",Date
COALINDIA,139.85,141.50,1.65,1.18,141.50,22168,"3,136,772.00","293,031,569,220.52",163.00,109.55,18-Mar-2021
BAJFINANCE,"5,359.80","5,423.00",63.2,1.18,"5,423.00",4358,"23,633,434.00","1,421,088,952,611.77","5,822.20","1,783.00",18-Mar-2021
ULTRACEMCO,"6,520.25","6,595.00",74.75,1.15,"6,595.00",1533,"10,110,135.00","752,793,914,538.60","6,944.20","2,910.00",18-Mar-2021
ITC,210.60,213.00,2.4,1.14,213.00,235498,"50,161,074.00","1,839,922,895,474.35",239.20,139.00,18-Mar-2021
AXISBANK,727.90,736.00,8.1,1.11,736.00,26622,"19,593,792.00","1,804,862,313,890.78",799.00,286.00,18-Mar-2021
HDFCBANK,"1,495.35","1,511.75",16.4,1.1,"1,511.75",96975,"146,601,956.25","6,506,341,086,680.30","1,641.00",738.75,18-Mar-2021
JSWSTEEL,422.50,427.00,4.5,1.07,427.00,7574,"3,234,098.00","408,510,254,360.00",435.00,132.50,18-Mar-2021
SHREECEM,"26,842.20","27,125.00",282.8,1.05,"27,125.00",39,"1,057,875.00","358,340,061,967.27","29,090.00","15,410.00",18-Mar-2021
ADANIPORTS,688.25,695.00,6.75,0.98,695.00,23164,"16,098,980.00","503,407,133,822.97",767.80,203.00,18-Mar-2021
SBIN,368.15,371.50,3.35,0.91,371.50,101387,"37,665,270.50","1,412,806,166,584.10",427.70,149.45,18-Mar-2021
HINDALCO,326.40,329.35,2.95,0.9,329.35,28999,"9,550,820.65","476,635,036,126.08",361.30,84.90,18-Mar-2021
ICICIBANK,589.50,594.75,5.25,0.89,594.75,87656,"52,133,406.00","4,069,519,395,115.50",679.40,268.30,18-Mar-2021
TITAN,"1,472.55","1,485.60",13.05,0.89,"1,485.60",1600,"2,376,960.00","614,435,469,656.76","1,621.35",720.90,18-Mar-2021
WIPRO,419.65,423.25,3.6,0.86,423.25,11299,"4,782,301.75","623,594,823,552.70",467.45,159.40,18-Mar-2021
