"SYMBOL 
","PREV. CLOSE 
","IEP  PRICE 
","CHNG 
","%CHNG 
","FINAL PRICE 
","FINAL QUANTITY 
",VALUE ,FFM CAP ,"NM 52W H 
","NM 52W L 
",Date
POWERGRID,222.75,223.70,0.95,0.43,223.70,17152,"3,836,902.40","571,014,931,105.08",238.30,122.15,25-Feb-2021
BRITANNIA,"3,405.55","3,420.00",14.45,0.42,"3,420.00",2283,"7,807,860.00","401,941,622,466.97","4,010.00","2,100.00",25-Feb-2021
M&M,849.60,853.10,3.50,0.41,853.10,6371,"5,435,100.10","813,286,616,744.45",952.05,245.40,25-Feb-2021
TECHM,960.05,964.00,3.95,0.41,964.00,4624,"4,457,536.00","594,334,242,640.32","1,081.55",471.40,25-Feb-2021
HDFC,"2,707.75","2,718.50",10.75,0.40,"2,718.50",21617,"58,765,814.50","4,866,148,655,443.25","2,896.00","1,473.45",25-Feb-2021
NTPC,103.20,103.60,0.40,0.39,103.60,36558,"3,787,408.80","500,347,972,535.04",112.45,73.20,25-Feb-2021
ITC,208.85,209.50,0.65,0.31,209.50,63843,"13,375,108.50","1,824,633,887,558.49",239.20,134.60,25-Feb-2021
ICICIBANK,641.10,642.70,1.60,0.25,642.70,218539,"140,455,015.30","4,425,731,779,827.90",679.40,268.30,25-Feb-2021
HEROMOTOCO,"3,441.60","3,450.00",8.40,0.24,"3,450.00",2408,"8,307,600.00","446,888,134,274.40","3,629.05","1,475.00",25-Feb-2021
HDFCBANK,"1,606.45","1,609.75",3.30,0.21,"1,609.75",96525,"155,381,118.75","6,989,742,627,945.01","1,641.00",738.75,25-Feb-2021
SBILIFE,871.55,873.20,1.65,0.19,873.20,2103,"1,836,339.60","339,921,199,168.18",954.50,519.40,25-Feb-2021
BAJAJ-AUTO,"3,931.85","3,936.00",4.15,0.11,"3,936.00",1576,"6,203,136.00","511,986,472,914.15","4,361.40","1,788.65",25-Feb-2021
SHREECEM,"27,553.00","27,553.00",-,-,"27,553.00",64,"1,763,392.00","367,829,154,368.28","29,090.00","15,410.00",25-Feb-2021
WIPRO,423.10,423.10,-,-,423.10,55846,"23,628,442.60","628,721,481,818.53",467.45,159.40,25-Feb-2021
DIVISLAB,"3,480.05","3,477.25",-2.80,-0.08,"3,477.25",1327,"4,614,310.75","443,445,087,277.92","3,914.95","1,626.00",25-Feb-2021
HINDUNILVR,"2,178.85","2,177.00",-1.85,-0.08,"2,177.00",15833,"34,468,441.00","1,945,345,645,558.57","2,614.30","1,757.30",25-Feb-2021
ULTRACEMCO,"6,414.55","6,406.00",-8.55,-0.13,"6,406.00",1332,"8,532,792.00","740,590,346,152.92","6,589.00","2,910.00",25-Feb-2021
NESTLEIND,"16,346.15","16,306.00",-40.15,-0.25,"16,306.00",704,"11,479,424.00","583,129,529,754.56","18,844.00","12,200.00",25-Feb-2021
DRREDDY,"4,435.55","4,421.15",-14.40,-0.32,"4,421.15",6266,"27,702,925.90","538,465,234,149.37","5,512.65","2,495.05",25-Feb-2021
INDUSINDBK,"1,027.40","1,044.90",17.50,1.70,"1,044.90",13782,"14,400,811.80","583,309,276,548.90","1,281.75",235.55,15-Feb-2021
TATAMOTORS,325.40,329.90,4.50,1.38,329.90,156477,"51,621,762.30","582,988,220,962.41",341.90,63.50,15-Feb-2021
AXISBANK,750.40,759.90,9.50,1.27,759.90,36361,"27,630,723.90","1,860,652,123,016.40",766.30,286.00,15-Feb-2021
HEROMOTOCO,"3,515.75","3,488.95",43.20,1.25,"3,488.95",4659,"16,255,018.05","456,516,433,657.38","3,580.00","1,475.00",15-Feb-2021
GRASIM,"1,242.10","1,257.05",14.95,1.20,"1,257.05",6470,"8,133,113.50","482,163,526,641.13","1,254.80",385.05,15-Feb-2021
HDFCBANK,"1,581.95","1,600.10",18.15,1.15,"1,600.10",35455,"56,731,545.50","6,883,141,928,026.15","1,631.65",738.75,15-Feb-2021
ICICIBANK,647.60,655.00,7.40,1.14,655.00,62200,"40,741,000.00","4,470,603,494,956.40",649.90,268.30,15-Feb-2021
BPCL,418.10,422.80,4.70,1.12,422.80,11363,"4,804,276.40","335,576,891,738.57",484.50,252.00,15-Feb-2021
SBIN,393.15,397.50,4.35,1.11,397.50,104200,"41,419,500.00","1,508,745,740,574.60",408.35,149.45,15-Feb-2021
HCLTECH,960.40,970.00,9.60,1.00,970.00,10619,"10,300,430.00","1,042,481,583,279.36","1,067.00",375.25,15-Feb-2021
BHARTIARTL,586.25,592.10,5.85,1.00,592.10,31597,"18,708,583.70","1,407,261,019,722.25",623.00,361.75,15-Feb-2021
HDFC,"2,791.50","2,819.00",27.50,0.99,"2,819.00",11641,"32,815,979.00","5,016,657,361,894.50","2,809.00","1,473.45",15-Feb-2021
TATASTEEL,680.50,687.10,6.60,0.97,687.10,31314,"21,515,849.40","513,605,998,389.33",731.50,250.85,15-Feb-2021
GAIL,132.90,133.95,1.05,0.79,133.95,27594,"3,696,216.30","245,753,120,136.47",146.20,65.00,15-Feb-2021
TITAN,"1,494.20","1,506.00",11.80,0.79,"1,506.00",2716,"4,090,296.00","623,469,137,727.84","1,621.35",720.90,15-Feb-2021
UPL,535.80,540.00,4.20,0.78,540.00,4782,"2,582,280.00","294,750,399,833.86",601.40,240.15,15-Feb-2021
SHREECEM,"27,965.85","28,184.95",219.10,0.78,"28,184.95",58,"1,634,727.10","373,340,650,988.65","28,599.10","15,410.00",15-Feb-2021
INFY,"1,309.80","1,320.00",10.20,0.78,"1,320.00",15537,"20,508,840.00","4,853,845,904,099.96","1,392.80",509.25,15-Feb-2021
SUNPHARMA,627.15,632.00,4.85,0.77,632.00,15860,"10,023,520.00","677,134,316,895.98",654.40,312.00,15-Feb-2021
POWERGRID,212.65,214.00,1.35,0.63,214.00,12092,"2,587,688.00","545,123,793,937.13",219.00,122.15,15-Feb-2021
ULTRACEMCO,"6,397.25","6,435.00",37.75,0.59,"6,435.00",511,"3,288,285.00","738,592,978,763.40","6,589.00","2,910.00",15-Feb-2021
WIPRO,442.00,444.60,2.60,0.59,444.60,9392,"4,175,683.20","656,806,653,187.88",467.45,159.40,15-Feb-2021
HINDALCO,290.80,292.50,1.70,0.58,292.50,10142,"2,966,535.00","424,649,106,940.76",297.35,84.90,15-Feb-2021
TCS,"3,190.80","3,209.00",18.20,0.57,"3,209.00",4250,"13,638,250.00","3,352,470,553,573.34","3,339.80","1,506.05",15-Feb-2021
EICHERMOT,"2,781.25","2,796.00",14.75,0.53,"2,796.00",1770,"4,948,920.00","387,584,926,312.50","3,037.00","1,245.01",15-Feb-2021
NTPC,95.95,96.45,0.50,0.52,96.45,22411,"2,161,540.95","465,197,557,797.84",117.10,73.20,15-Feb-2021
BAJFINANCE,"5,577.45","5,605.35",27.90,0.50,"5,605.35",2729,"15,297,000.15","1,478,796,331,718.44","5,665.00","1,783.00",15-Feb-2021
BAJAJFINSV,"10,278.80","10,330.20",51.40,0.50,"10,330.20",869,"8,976,943.80","621,581,944,567.14","10,417.90","3,985.30",15-Feb-2021
COALINDIA,133.85,134.50,0.65,0.49,134.50,20193,"2,715,958.50","280,459,603,433.44",180.95,109.55,15-Feb-2021
TECHM,991.20,996.00,4.80,0.48,996.00,5616,"5,593,536.00","613,618,146,247.68","1,081.55",471.40,15-Feb-2021
IOC,95.10,95.55,0.45,0.47,95.55,57276,"5,472,721.80","241,727,358,640.19",115.75,71.15,15-Feb-2021
ITC,217.45,218.45,1.00,0.46,218.45,108724,"23,750,757.80","1,899,768,440,745.00",239.20,134.60,15-Feb-2021
KOTAKBANK,"1,951.05","1,960.00",8.95,0.46,"1,960.00",3856,"7,557,760.00","2,858,368,209,648.02","2,030.00","1,001.00",15-Feb-2021
HINDUNILVR,"2,241.55","2,251.00",9.45,0.42,"2,251.00",3387,"7,624,137.00","2,001,326,172,890.20","2,614.30","1,757.30",15-Feb-2021
MARUTI,"7,568.50","7,600.00",31.50,0.42,"7,600.00",1304,"9,910,400.00","1,005,968,891,008.40","8,329.00","4,001.10",15-Feb-2021
BAJAJ-AUTO,"4,136.05","4,152.20",16.15,0.39,"4,152.20",511,"2,121,774.20","538,576,408,381.95","4,361.40","1,788.65",15-Feb-2021
LT,"1,521.35","1,527.00",5.65,0.37,"1,527.00",3588,"5,478,876.00","1,837,274,695,035.26","1,593.00",661.00,15-Feb-2021
HDFCLIFE,710.95,713.50,2.55,0.36,713.50,7712,"5,502,512.00","560,067,181,568.10",731.00,340.00,15-Feb-2021
ASIANPAINT,"2,486.10","2,495.00",8.90,0.36,"2,495.00",4085,"10,192,075.00","1,120,790,964,087.93","2,873.45","1,431.20",15-Feb-2021
JSWSTEEL,403.80,405.10,1.30,0.32,405.10,4282,"1,734,638.20","390,429,445,468.80",420.00,132.50,15-Feb-2021
NESTLEIND,"17,294.30","17,349.00",54.70,0.32,"17,349.00",154,"2,671,746.00","616,953,657,370.96","18,844.00","12,200.00",15-Feb-2021
RELIANCE,"2,041.60","2,048.05",6.45,0.32,"2,048.05",26486,"54,244,652.30","6,600,727,108,715.52","2,369.35",866.98,15-Feb-2021
M&M,908.55,910.90,2.35,0.26,910.90,4560,"4,153,704.00","869,716,991,105.42",952.05,245.40,15-Feb-2021
BRITANNIA,"3,421.25","3,429.00",7.75,0.23,"3,429.00",988,"3,387,852.00","403,794,622,268.10","4,010.00","2,100.00",15-Feb-2021
ADANIPORTS,616.60,617.95,1.35,0.22,617.95,20350,"12,575,282.50","451,000,128,899.74",621.65,203.00,15-Feb-2021
CIPLA,848.55,850.10,1.55,0.18,850.10,4604,"3,913,860.40","431,115,198,572.24",878.90,355.30,15-Feb-2021
SBILIFE,896.85,898.00,1.15,0.13,898.00,2000,"1,796,000.00","349,788,683,924.02",954.50,519.40,15-Feb-2021
DIVISLAB,"3,719.40","3,721.00",1.60,0.04,"3,721.00",751,"2,794,471.00","473,944,241,496.96","3,914.95","1,626.00",15-Feb-2021
ONGC,97.00,97.00,-,-,97.00,248653,"24,119,341.00","353,883,254,064.78",108.20,50.00,15-Feb-2021
DRREDDY,"4,792.00","4,792.00",-,-,"4,792.00",1402,"6,718,384.00","581,737,417,466.56","5,512.65","2,495.05",15-Feb-2021
POWERGRID,213.75,219.00,5.25,2.46,219.00,77720,"17,020,680.00","547,943,620,757.40",217.45,122.15,12-Feb-2021
SUNPHARMA,643.65,654.40,10.75,1.67,654.40,85542,"55,978,684.80","694,949,379,048.23",648.75,312.00,12-Feb-2021
INFY,"1,292.65","1,305.00",12.35,0.96,"1,305.00",35517,"46,349,685.00","4,790,291,577,290.28","1,392.80",509.25,12-Feb-2021
TITAN,"1,524.70","1,536.70",12.00,0.79,"1,536.70",4154,"6,383,451.80","636,195,552,331.44","1,621.35",720.90,12-Feb-2021
EICHERMOT,"2,818.15","2,840.00",21.85,0.78,"2,840.00",2168,"6,157,120.00","392,727,176,660.70","3,037.00","1,245.01",12-Feb-2021
DRREDDY,"4,825.05","4,859.80",34.75,0.72,"4,859.80",1101,"5,350,639.80","585,749,608,962.23","5,512.65","2,495.05",12-Feb-2021
GRASIM,"1,235.45","1,244.00",8.55,0.69,"1,244.00",5614,"6,983,816.00","479,582,102,076.15","1,249.00",385.05,12-Feb-2021
WIPRO,437.00,440.00,3.00,0.69,440.00,19307,"8,495,080.00","649,376,713,672.18",467.45,159.40,12-Feb-2021
HINDALCO,295.40,297.00,1.60,0.54,297.00,78333,"23,264,901.00","431,366,389,925.38",297.35,84.90,12-Feb-2021
NTPC,97.30,97.80,0.50,0.51,97.80,24648,"2,410,574.40","471,742,807,438.56",118.90,73.20,12-Feb-2021
ASIANPAINT,"2,505.50","2,518.00",12.50,0.50,"2,518.00",2297,"5,783,846.00","1,129,536,929,537.15","2,873.45","1,431.20",12-Feb-2021
BRITANNIA,"3,462.75","3,480.00",17.25,0.50,"3,480.00",2036,"7,085,280.00","408,692,679,067.26","4,010.00","2,100.00",12-Feb-2021
HCLTECH,970.40,975.00,4.60,0.47,975.00,15151,"14,772,225.00","1,053,336,243,663.36","1,067.00",375.25,12-Feb-2021
TECHM,985.60,990.00,4.40,0.45,990.00,3002,"2,971,980.00","610,151,377,059.84","1,081.55",471.40,12-Feb-2021
TATAMOTORS,325.00,326.40,1.40,0.43,326.40,105783,"34,527,571.20","582,271,579,019.00",341.90,63.50,12-Feb-2021
UPL,543.55,545.80,2.25,0.41,545.80,8911,"4,863,623.80","299,013,773,478.34",601.40,240.15,12-Feb-2021
GAIL,136.45,136.95,0.50,0.37,136.95,52752,"7,224,386.40","252,317,631,622.44",146.20,65.00,12-Feb-2021
BAJAJFINSV,"10,216.65","10,250.00",33.35,0.33,"10,250.00",485,"4,971,250.00","617,823,595,552.19","10,417.90","3,985.30",12-Feb-2021
LT,"1,530.50","1,535.00",4.50,0.29,"1,535.00",4957,"7,608,995.00","1,848,324,790,976.08","1,593.00",661.00,12-Feb-2021
BPCL,421.95,423.00,1.05,0.25,423.00,8013,"3,389,499.00","338,666,992,272.40",485.70,252.00,12-Feb-2021
HINDUNILVR,"2,263.00","2,268.00",5.00,0.22,"2,268.00",4414,"10,010,952.00","2,020,477,405,924.70","2,614.30","1,757.30",12-Feb-2021
SBIN,390.15,391.00,0.85,0.22,391.00,58959,"23,052,969.00","1,497,232,991,695.74",408.35,149.45,12-Feb-2021
ULTRACEMCO,"6,427.15","6,439.90",12.75,0.20,"6,439.90",637,"4,102,216.30","742,045,076,159.16","6,589.00","2,910.00",12-Feb-2021
M&M,914.20,916.00,1.80,0.20,916.00,12416,"11,373,056.00","875,125,500,268.10",952.05,245.40,12-Feb-2021
INDUSINDBK,"1,021.90","1,023.80",1.90,0.19,"1,023.80",4915,"5,031,977.00","580,186,635,882.15","1,302.90",235.55,12-Feb-2021
HDFCBANK,"1,572.35","1,573.90",1.55,0.10,"1,573.90",19645,"30,919,265.50","6,841,371,857,853.86","1,631.65",738.75,12-Feb-2021
ADANIPORTS,591.85,592.30,0.45,0.08,592.30,13739,"8,137,609.70","432,897,220,709.23",594.00,203.00,12-Feb-2021
SBILIFE,907.35,908.00,0.65,0.07,908.00,954,"866,232.00","353,883,885,107.28",954.50,519.40,12-Feb-2021
BAJFINANCE,"5,567.05","5,570.00",2.95,0.05,"5,570.00",2494,"13,891,580.00","1,476,038,892,055.18","5,665.00","1,783.00",12-Feb-2021
IOC,96.50,96.55,0.05,0.05,96.55,35789,"3,455,427.95","245,285,910,712.71",116.95,71.15,12-Feb-2021
TATASTEEL,694.70,695.00,0.30,0.04,695.00,23305,"16,196,975.00","524,323,419,663.58",731.50,250.85,12-Feb-2021
DIVISLAB,"3,753.85","3,753.85",-,-,"3,753.85",1291,"4,846,220.35","478,334,029,935.84","3,914.95","1,626.00",12-Feb-2021
RELIANCE,"2,055.70","2,055.50",-0.20,-0.01,"2,055.50",72557,"149,140,913.50","6,646,314,026,933.04","2,369.35",866.98,12-Feb-2021
NESTLEIND,"17,412.25","17,410.10",-2.15,-0.01,"17,410.10",129,"2,245,902.90","621,161,383,840.77","18,844.00","12,200.00",12-Feb-2021
HDFCLIFE,714.20,713.95,-0.25,-0.04,713.95,2443,"1,744,179.85","562,627,443,668.24",731.00,340.00,12-Feb-2021
BHARTIARTL,598.10,597.85,-0.25,-0.04,597.85,29125,"17,412,381.25","1,435,706,295,771.22",623.00,361.75,12-Feb-2021
KOTAKBANK,"1,961.00","1,960.00",-1.00,-0.05,"1,960.00",3826,"7,498,960.00","2,872,945,367,427.68","2,030.00","1,001.00",12-Feb-2021
BAJAJ-AUTO,"4,181.90","4,179.00",-2.90,-0.07,"4,179.00",608,"2,540,832.00","544,546,773,422.10","4,361.40","1,788.65",12-Feb-2021
CIPLA,859.80,859.00,-0.80,-0.09,859.00,3993,"3,429,987.00","436,830,885,313.07",878.90,355.30,12-Feb-2021
ICICIBANK,630.65,629.90,-0.75,-0.12,629.90,11971,"7,540,532.90","4,353,591,868,582.85",643.20,268.30,12-Feb-2021
HEROMOTOCO,"3,541.50","3,535.95",-5.55,-0.16,"3,535.95",1153,"4,076,950.35","459,860,044,029.75","3,568.75","1,475.00",12-Feb-2021
JSWSTEEL,408.85,407.85,-1.00,-0.24,407.85,2132,"869,536.20","395,312,230,757.60",420.00,132.50,12-Feb-2021
ITC,226.45,225.75,-0.70,-0.31,225.75,364263,"82,232,372.25","1,978,397,624,312.28",239.20,134.60,12-Feb-2021
COALINDIA,137.15,136.50,-0.65,-0.47,136.50,33692,"4,598,958.00","287,374,184,616.34",183.40,109.55,12-Feb-2021
SHREECEM,"28,344.20","28,200.00",-144.20,-0.51,"28,200.00",44,"1,240,800.00","378,391,576,860.79","28,599.10","15,410.00",12-Feb-2021
HDFC,"2,760.60","2,746.00",-14.60,-0.53,"2,746.00",15576,"42,771,696.00","4,961,126,388,409.80","2,784.00","1,473.45",12-Feb-2021
ONGC,99.45,98.90,-0.55,-0.55,98.90,73397,"7,258,963.30","362,821,542,440.64",108.20,50.00,12-Feb-2021
MARUTI,"7,667.35","7,620.10",-47.25,-0.62,"7,620.10",1895,"14,440,089.50","1,019,107,561,138.04","8,329.00","4,001.10",12-Feb-2021
AXISBANK,740.10,735.50,-4.60,-0.62,735.50,16779,"12,340,954.50","1,835,112,788,172.23",766.30,286.00,12-Feb-2021
TCS,"3,206.00","3,184.20",-21.80,-0.68,"3,184.20",13616,"43,356,067.20","3,368,440,702,882.08","3,339.80","1,506.05",12-Feb-2021
COALINDIA,136.90,139.95,3.05,2.23,139.95,153243,"21,446,357.85","286,850,352,708.54",180.20,109.55,24-Feb-2021
ONGC,112.20,114.00,1.80,1.60,114.00,227018,"25,880,052.00","409,337,124,804.83",115.50,50.00,24-Feb-2021
DIVISLAB,"3,448.25","3,496.90",48.65,1.41,"3,496.90",5175,"18,096,457.50","439,392,974,872.80","3,914.95","1,626.00",24-Feb-2021
BAJFINANCE,"5,383.70","5,444.00",60.30,1.12,"5,444.00",14747,"80,282,668.00","1,427,425,761,068.69","5,822.20","1,783.00",24-Feb-2021
BPCL,435.25,440.00,4.75,1.09,440.00,24071,"10,591,240.00","349,341,885,025.62",481.00,252.00,24-Feb-2021
NTPC,103.40,104.50,1.10,1.06,104.50,89364,"9,338,538.00","501,317,639,148.48",112.45,73.20,24-Feb-2021
HEROMOTOCO,"3,405.45","3,440.00",34.55,1.01,"3,440.00",8428,"28,992,320.00","442,194,094,858.43","3,629.05","1,475.00",24-Feb-2021
HDFCLIFE,705.70,712.05,6.35,0.90,712.05,8377,"5,964,842.85","555,931,373,560.17",731.00,340.00,24-Feb-2021
HCLTECH,909.95,918.00,8.05,0.88,918.00,18381,"16,873,758.00","987,719,821,642.08","1,067.00",375.25,24-Feb-2021
KOTAKBANK,"1,872.95","1,889.10",16.15,0.86,"1,889.10",23454,"44,306,951.40","2,743,948,508,885.10","2,049.00","1,001.00",24-Feb-2021
AXISBANK,715.95,722.00,6.05,0.85,722.00,34207,"24,697,454.00","1,775,231,726,377.39",799.00,286.00,24-Feb-2021
ULTRACEMCO,"6,268.45","6,319.00",50.55,0.81,"6,319.00",953,"6,022,007.00","723,722,405,366.28","6,589.00","2,910.00",24-Feb-2021
TATASTEEL,729.30,735.00,5.70,0.78,735.00,101287,"74,445,945.00","550,437,699,669.86",736.00,250.85,24-Feb-2021
IOC,97.65,98.40,0.75,0.77,98.40,91970,"9,049,848.00","248,209,007,057.99",113.10,71.15,24-Feb-2021
BRITANNIA,"3,335.95","3,360.00",24.05,0.72,"3,360.00",1754,"5,893,440.00","393,727,050,100.19","4,010.00","2,100.00",24-Feb-2021
ADANIPORTS,662.00,666.70,4.70,0.71,666.70,12277,"8,185,075.90","484,207,079,681.52",682.70,203.00,24-Feb-2021
NESTLEIND,"16,169.95","16,283.00",113.05,0.70,"16,283.00",226,"3,679,958.00","576,843,803,565.65","18,844.00","12,200.00",24-Feb-2021
EICHERMOT,"2,514.70","2,530.05",15.35,0.61,"2,530.05",1779,"4,500,958.95","350,439,483,756.60","3,037.00","1,245.01",24-Feb-2021
GRASIM,"1,231.50","1,239.00",7.50,0.61,"1,239.00",1905,"2,360,295.00","478,048,774,702.97","1,258.60",385.05,24-Feb-2021
JSWSTEEL,412.60,415.00,2.40,0.58,415.00,10672,"4,428,880.00","398,938,061,417.60",421.90,132.50,24-Feb-2021
WIPRO,415.50,417.70,2.20,0.53,417.70,25509,"10,655,109.30","617,427,973,754.67",467.45,159.40,24-Feb-2021
SUNPHARMA,604.05,607.10,3.05,0.50,607.10,13097,"7,951,188.70","652,193,229,882.83",654.40,312.00,24-Feb-2021
BHARTIARTL,565.55,568.10,2.55,0.45,568.10,28210,"16,026,101.00","1,357,571,803,332.91",623.00,361.75,24-Feb-2021
TECHM,945.75,950.00,4.25,0.45,950.00,3719,"3,533,050.00","585,481,599,892.80","1,081.55",471.40,24-Feb-2021
HINDUNILVR,"2,179.25","2,188.50",9.25,0.42,"2,188.50",3676,"8,044,926.00","1,945,702,778,109.33","2,614.30","1,757.30",24-Feb-2021
CIPLA,790.95,794.00,3.05,0.39,794.00,5718,"4,540,092.00","401,850,882,459.15",878.90,355.30,24-Feb-2021
BAJAJ-AUTO,"3,912.25","3,927.00",14.75,0.38,"3,927.00",729,"2,862,783.00","509,434,255,797.75","4,361.40","1,788.65",24-Feb-2021
SBIN,395.60,397.00,1.40,0.35,397.00,52704,"20,923,488.00","1,518,147,818,825.67",427.70,149.45,24-Feb-2021
HINDALCO,333.05,334.20,1.15,0.35,334.20,103806,"34,691,965.20","486,345,890,875.59",338.15,84.90,24-Feb-2021
RELIANCE,"2,023.45","2,030.00",6.55,0.32,"2,030.00",24292,"49,312,760.00","6,542,046,075,690.84","2,369.35",866.98,24-Feb-2021
TATAMOTORS,324.00,325.00,1.00,0.31,325.00,296156,"96,250,700.00","580,479,974,160.48",341.90,63.50,24-Feb-2021
ITC,208.50,209.10,0.60,0.29,209.10,61363,"12,831,003.30","1,821,576,085,975.32",239.20,134.60,24-Feb-2021
BAJAJFINSV,"10,008.65","10,030.00",21.35,0.21,"10,030.00",331,"3,319,930.00","605,245,371,978.43","10,579.00","3,985.30",24-Feb-2021
SHREECEM,"27,260.35","27,313.25",52.90,0.19,"27,313.25",88,"2,403,566.00","363,922,312,934.47","29,090.00","15,410.00",24-Feb-2021
GAIL,147.35,147.55,0.20,0.14,147.55,168813,"24,908,358.15","272,473,455,621.59",149.45,65.00,24-Feb-2021
SBILIFE,869.70,870.10,0.40,0.05,870.10,1958,"1,703,655.80","339,199,663,721.61",954.50,519.40,24-Feb-2021
ASIANPAINT,"2,372.20","2,373.00",0.80,0.03,"2,373.00",5737,"13,613,901.00","1,069,442,228,795.86","2,873.45","1,431.20",24-Feb-2021
LT,"1,486.30","1,486.70",0.40,0.03,"1,486.70",6182,"9,190,779.40","1,794,946,185,447.73","1,593.00",661.00,24-Feb-2021
POWERGRID,226.10,226.15,0.05,0.02,226.15,8307,"1,878,628.05","579,602,585,512.27",238.30,122.15,24-Feb-2021
M&M,840.95,841.10,0.15,0.02,841.10,6329,"5,323,321.90","805,006,332,805.14",952.05,245.40,24-Feb-2021
DRREDDY,"4,495.15","4,495.15",-,-,"4,495.15",1397,"6,279,724.55","545,700,532,580.30","5,512.65","2,495.05",24-Feb-2021
TITAN,"1,424.05","1,424.05",-,-,"1,424.05",2881,"4,102,688.05","594,198,384,139.56","1,621.35",720.90,24-Feb-2021
INDUSINDBK,"1,048.30","1,047.30",-1.00,-0.10,"1,047.30",5521,"5,782,143.30","595,175,311,082.55","1,189.50",235.55,24-Feb-2021
HDFCBANK,"1,529.15","1,526.50",-2.65,-0.17,"1,526.50",94967,"144,967,125.50","6,653,406,542,078.56","1,641.00",738.75,24-Feb-2021
ICICIBANK,616.30,615.10,-1.20,-0.19,615.10,34662,"21,320,596.20","4,254,528,928,260.70",679.40,268.30,24-Feb-2021
TCS,"2,980.20","2,972.00",-8.20,-0.28,"2,972.00",44281,"131,603,132.00","3,131,199,932,229.94","3,339.80","1,506.05",24-Feb-2021
INFY,"1,266.35","1,260.05",-6.30,-0.50,"1,260.05",35195,"44,347,459.75","4,692,829,256,876.61","1,392.80",509.25,24-Feb-2021
HDFC,"2,628.60","2,610.10",-18.50,-0.70,"2,610.10",59303,"154,786,760.30","4,723,906,695,853.80","2,896.00","1,473.45",24-Feb-2021
MARUTI,"6,970.50","6,905.00",-65.50,-0.94,"6,905.00",10088,"69,657,640.00","926,485,585,621.20","8,329.00","4,001.10",24-Feb-2021
UPL,566.40,547.00,-19.40,-3.43,547.00,30724,"16,806,028.00","311,583,849,320.45",601.15,240.15,24-Feb-2021
ONGC,106.30,109.75,3.45,3.25,109.75,256111,"28,108,182.25","387,812,267,083.36",115.50,50.00,23-Feb-2021
RELIANCE,"2,008.10","2,048.00",39.90,1.99,"2,048.00",166621,"341,239,808.00","6,492,417,764,014.32","2,369.35",866.98,23-Feb-2021
HINDALCO,316.10,321.95,5.85,1.85,321.95,121332,"39,062,837.40","461,594,163,356.17",328.00,84.90,23-Feb-2021
AXISBANK,719.45,732.35,12.90,1.79,732.35,40606,"29,737,804.10","1,783,910,141,130.26",799.00,286.00,23-Feb-2021
TATAMOTORS,304.50,308.50,4.00,1.31,308.50,197757,"61,008,034.50","545,543,679,419.34",341.90,63.50,23-Feb-2021
BPCL,422.55,428.00,5.45,1.29,428.00,34698,"14,850,744.00","339,148,566,381.56",481.00,252.00,23-Feb-2021
INDUSINDBK,"1,022.90","1,033.15",10.25,1.00,"1,033.15",10111,"10,446,179.65","580,754,388,730.65","1,189.50",235.55,23-Feb-2021
COALINDIA,136.25,137.60,1.35,0.99,137.60,26852,"3,694,835.20","285,488,389,748.28",180.20,109.55,23-Feb-2021
JSWSTEEL,406.10,410.00,3.90,0.96,410.00,12921,"5,297,610.00","392,653,288,273.60",421.90,132.50,23-Feb-2021
ADANIPORTS,673.80,680.00,6.20,0.92,680.00,47730,"32,456,400.00","492,837,961,162.25",678.50,203.00,23-Feb-2021
BHARTIARTL,570.30,575.00,4.70,0.82,575.00,50740,"29,175,500.00","1,368,973,918,204.86",623.00,361.75,23-Feb-2021
ICICIBANK,609.85,614.75,4.90,0.80,614.75,47344,"29,104,724.00","4,210,002,380,171.65",679.40,268.30,23-Feb-2021
HINDUNILVR,"2,167.60","2,185.00",17.40,0.80,"2,185.00",9752,"21,308,120.00","1,935,301,292,568.44","2,614.30","1,757.30",23-Feb-2021
BAJFINANCE,"5,376.85","5,420.00",43.15,0.80,"5,420.00",3878,"21,018,760.00","1,425,609,562,828.95","5,822.20","1,783.00",23-Feb-2021
KOTAKBANK,"1,949.60","1,965.00",15.40,0.79,"1,965.00",9263,"18,201,795.00","2,856,243,900,222.85","2,049.00","1,001.00",23-Feb-2021
IOC,95.65,96.40,0.75,0.78,96.40,50382,"4,856,824.80","243,125,361,240.11",113.10,71.15,23-Feb-2021
TATASTEEL,684.55,689.60,5.05,0.74,689.60,31240,"21,543,104.00","516,662,727,696.42",731.50,250.85,23-Feb-2021
HDFC,"2,651.95","2,670.35",18.40,0.69,"2,670.35",9577,"25,573,941.95","4,765,869,421,771.85","2,896.00","1,473.45",23-Feb-2021
TITAN,"1,405.25","1,415.00",9.75,0.69,"1,415.00",2104,"2,977,160.00","586,353,905,629.80","1,621.35",720.90,23-Feb-2021
GRASIM,"1,230.50","1,239.00",8.50,0.69,"1,239.00",2543,"3,150,777.00","477,660,590,557.86","1,258.60",385.05,23-Feb-2021
LT,"1,452.20","1,462.00",9.80,0.67,"1,462.00",8276,"12,099,512.00","1,753,764,953,580.83","1,593.00",661.00,23-Feb-2021
DRREDDY,"4,469.25","4,498.00",28.75,0.64,"4,498.00",2295,"10,322,910.00","542,556,334,101.09","5,512.65","2,495.05",23-Feb-2021
